アクセスログ	コンピュータが利用された事実を示すデータ。いつ（日時）、誰（ID）が、どこから（ IPアドレス）、どのサービスを利用したかが記録されており、不正にコンピュータが利用された場合に犯人を探す手掛かりとなる。https://www.npa.go.jp/cyberpolice/words/index.html
アクセス履歴	コンピュータが利用された事実を示すデータ。いつ（日時）、誰（ID）が、どこから（ IPアドレス）、どのサービスを利用したかが記録されており、不正にコンピュータが利用された場合に犯人を探す手掛かりとなる。https://www.npa.go.jp/cyberpolice/words/index.html
ソーシャルエンジニアリング	管理者や社員、取引先等になりすましてパスワードを聞き出す、ごみ箱からパスワードが書かれたメモをあさるなどの「社会的手段」を使って個人情報を盗み出す方法のこと。 防止のためには、安易にパスワードを教えたり、重要な書類を読み取ることのできる状態で廃棄したりすることのないよう、組織全体でセキュリティに関する意識を高めることが必要である。	https://www.npa.go.jp/cyberpolice/words/index.html
チェーンメール	本文中に転送を促すメッセージが書かれており、読んだ人が複数の人に転送することによって広がっていくメールのこと。内容はデマやいたずらが多い。	https://www.npa.go.jp/cyberpolice/words/index.html
デジタルフォレンジック	犯罪の立証のための電磁的記録の解析技術及びその手続のこと。コンピュータ、通信機器及び携帯電話機などのデータが対象となる。一般的には、コンピュータなどにおけるインシデント対応や内部監査等に関する証拠保全、分析技術及び手続き全般を指す場合もある。	https://www.npa.go.jp/cyberpolice/words/index.html
電子署名	メッセージの発信者のなりすましや内容の改ざんの有無を確認するためのもの。 発信者はメッセージとともに自らの秘密鍵でメッセージのダイジェストを暗号化したものを添付し、受信者は受信したメッセージから作成したダイジェストと、発信者の署名から公開鍵で復号化したダイジェストとを比較することによりメッセージ発信者及びそのメッセージの正当性を担保することが可能となる。	https://www.npa.go.jp/cyberpolice/words/index.html
デジタル署名	メッセージの発信者のなりすましや内容の改ざんの有無を確認するためのもの。 発信者はメッセージとともに自らの秘密鍵でメッセージのダイジェストを暗号化したものを添付し、受信者は受信したメッセージから作成したダイジェストと、発信者の署名から公開鍵で復号化したダイジェストとを比較することによりメッセージ発信者及びそのメッセージの正当性を担保することが可能となる。	https://www.npa.go.jp/cyberpolice/words/index.html
トロイの木馬	ウイルスの一種。自分自身をシステムに必要なファイルなどに見せかけて動作し、システム情報や個人情報を詐取したり、バックドアを作ったりする。ファイルには感染せずに、単独のプログラムとして動作する。自己増殖はしない。	https://www.npa.go.jp/cyberpolice/words/index.html
なりすまし	ネットワーク上で他人のふりをすること。 なりすましは、他人のバスワードや Cookie を使う、電子メールの発信アドレスを詐称する、偽りのWebサイトを作るなどにより行われる。 例えば、他人の ID とパスワードを用いてなりすました場合には、なりすまされた人のお金を引き出したり、偽りの情報を発信するなどの行為が可能で、なりすまされた人が被害を受ける可能性がある。 メールや Web の情報に関しては、公開鍵暗号を使用して情報の発信者が正当であることを確認する方法があるが、パスワードや Cookie の盗難には対応できない。	https://www.npa.go.jp/cyberpolice/words/index.html
認証局	なりすましによる被害を防ぐ目的で、ネットワークにおける情報発信者の正当性を保証するために、電子証明書を用いた認証が用いられている。認証局とは、この認証に必要な電子証明書を発行する機関をいう。 公開鍵暗号を使用した認証では、情報発信者は認証局の秘密鍵で署名した自身の公開鍵を公開し、情報受信者は認証局の公開鍵を使って署名が正当であることを確認することにより認証が行われる。	https://www.npa.go.jp/cyberpolice/words/index.html
ネット詐欺	インターネット上のオークションやショッピング等において発生する詐欺のこと。 代金を振り込んでも商品が送られてこなかったり、説明とは異なる商品が送られてきたりする。	https://www.npa.go.jp/cyberpolice/words/index.html
ネットストーカー	何度もメールを送りつけるなど、ネットワークを利用してしつこくつきまとう者をいう。掲示板を使って誹謗中傷をしたり、なんらかの手段で住所などを割り出して物理的なストーカー行為に発展することもある。	https://www.npa.go.jp/cyberpolice/words/index.html
バイオメトリクス認証	人間の身体的な特徴や特性といった個体情報を利用して個人を認証する方式。利用する個体情報には、指紋、掌紋、網膜、虹彩、顔面、声紋、筆跡等がある。暗証番号やパスワードといった従来の認証方式と比較して、紛失、盗難、偽造のリスクが少ないという特長がある。	https://www.npa.go.jp/cyberpolice/words/index.html
パケット・フィルタリング方式	ファイアウォールの一種で、ポート番号や発着信アドレスによってパケットの通過可否を判断する方式。もう1つの方式であるアプリケーション・ゲートウェイ方式に比べて簡易で、負荷が小さい。	https://www.npa.go.jp/cyberpolice/words/index.html
パスワードクラッキング	他人のパスワードを探し出すこと。誕生日や氏名等の個人情報から推測するほか、ブルートフォース攻撃や辞書攻撃等の手法がある。	https://www.npa.go.jp/cyberpolice/words/index.html
ハッカー	コンピュータやネットワークに非常に詳しい人のことをいう。それらの知識を悪用して不正アクセスや破壊行為を行うクラッカーと同じ意味で使用されることもある。	https://www.npa.go.jp/cyberpolice/words/index.html
バックドア	クラッカーがサーバへの侵入後、再侵入のために設置する裏口。バックドアの設置には、侵入用アカウントの作成、既存サービスのプログラムの書き換え等がある。	https://www.npa.go.jp/cyberpolice/words/index.html
ハッシュ関数	メッセージダイジェスト関数とも言う。入力されたデータに対応する固定長の小さなデータ（ダイジェスト）を出力する。同一のダイジェストとなる、異なる入力データを作成するのは非常に困難である特徴を有する。 通信の前後でのダイジェスト値を比較することにより、通信途上での情報の変容の 有無を確認することなど、メッセージの正確性を保つ目的で広く利用されている。	https://www.npa.go.jp/cyberpolice/words/index.html
パッチ	ソフトウェアの不具合が見つかった場合に配布される、不具合部分を修正するプログラムのこと。ソフトウェアをすべて入れ替えることなしに問題のある箇所のみを修正することができる。		https://www.npa.go.jp/cyberpolice/words/index.html
バッファオーバーフロー攻撃	バッファ（入力データを一時的に保存するメモリ領域）の長さを越えるデータを送りこむことによって、以降の領域のデータを破壊し動作不能にしたり、外部から送り込んだプログラムを実行させる攻撃。ソフトウェア上に入力データ長のチェックを適切に行っていないなどの脆弱性がある場合が対象であり、外部から送り込まれたプログラムによってコンピュータの管理者権限を乗っ取られることもある。この脆弱性が発見されたら直ちにソフトウェアのアップデートを行うことが重要である。	https://www.npa.go.jp/cyberpolice/words/index.html
バナーチェック	サーバで動作しているサービスに接続して、その応答メッセージ(バナー)を確認すること。バナーからは、使用しているソフトウェアの種類やバージョンを推測できる。クラッカーはバナーチェックを悪用して、サーバの脆弱性を調査することがある。	https://www.npa.go.jp/cyberpolice/words/index.html
パーソナルファイアウォール	従来のファイアウォールのように、企業等で社内ネットワークを守るため設置するのではなく、パソコンにインストールして、そのパソコンのみを防護するファイアウォール機能を実現するソフトウェアがパーソナルファイアウォールと称して販売されている。 パーソナルファイアウォールは、専用のソフトウェアのほか、コンピュータウィルス対策ソフトの一機能や、OS(オペレーティングシステム)のファイアウォール機能を指す場合もある。 一般家庭でファイアウォールを利用するには、この他にもブロードバンドルータのファイアウォール機能を活用する手段もある。 	https://www.npa.go.jp/cyberpolice/words/index.html
非武装セグメント	インターネット等の外部ネットワークと内部のネットワークとの緩衝地帯として、その中間に設置するネットワークのこと。 DMZ 上に公開サーバを設置し、DMZ から内部ネットワークへのアクセスを制限しておくことにより、万が一、公開サーバに侵入された場合でも、内部ネットワークへの被害を抑えることができる。	https://www.npa.go.jp/cyberpolice/words/index.html
標的型攻撃	標的を絞り、攻撃であることを相手に気付かせないよう、巧みに偽装した攻撃メールを送り込む攻撃をいう。「スピア型攻撃」とも呼ばれる。主に次のような特徴がある。特定の組織や個人を狙うため、攻撃に気付きにくい。知人や仕事上の関係者になりすましており、その差出人を信じる可能性が高い。被害者が添付ファイルを開きたくなるような文面が記載されている。アプリケーションソフトの脆弱性を悪用するデータ・ファイルやそのアイコンを模したウイルスを添付される。添付ファイルを開くと、インターネット上から他のウイルスをダウンロードするケースが多い。	https://www.npa.go.jp/cyberpolice/words/index.html
ファイアウォール	ネットワークの内部と外部の境界に設置して通信を監視し、許可されない通信を遮断することによって、セキュリティを高める装置。アプリケーション・ゲートウェイとパケットフィルタリングの2種類の方式がある。	https://www.npa.go.jp/cyberpolice/words/index.html
ファイル共有ソフト	同種のソフトウェアを利用する不特定多数のコンピュータの中から特定の情報を持つコンピュータを探し出し、特定のサーバを経由せずに、不特定多数の者が相互に直接情報を共有するソフトウェアをいう。代表的なものに「winny」や「share」がある。	https://www.npa.go.jp/cyberpolice/words/index.html
フィッシング	実在するクレジットカード会社や銀行などを装った内容のメールを無作為に発信して、メールの受信者に偽のWebサイトにアクセスするように仕向け、個人情報を騙し取ること。例えば、緊急性や重要性をアピールする文面でユーザにメールを送り、ユーザを実在する本物のWebサイトそっくりに偽装したWebサイトへ誘導し、クレジットカード番号、パスワードなどの情報を盗み取ることを目的とした行為を指す。	https://www.npa.go.jp/cyberpolice/words/index.html
フィルタリング・ソフト	ウェブサイト上の違法・有害情報へのアクセスを制御するために、受信者側でこれらの情報を受信するかどうかを選択できるソフトウェアをいう。	https://www.npa.go.jp/cyberpolice/words/index.html
踏み台	スパムメールの発信や他サーバへの不正アクセスを行うことを目的として不正に利用されるサーバのこと。セキュリティ管理の甘いサーバが狙われる。踏み台にされたサーバの管理者が被害を受けた側から責任を問われる場合もある。	https://www.npa.go.jp/cyberpolice/words/index.html
プライバシーポリシー	個人情報の取り扱いに関する方針のこと。Web サイト等で個人情報を集めるに当たり、収集目的、利用範囲、責任等の個人情報の取り扱いに関する具体的規定をプライバシーポリシーとして掲示する。 個人情報をWebページから入力する際には、プライバシーポリシーが掲示されており、かつ内容が妥当であるかを確認することが重要である。	https://www.npa.go.jp/cyberpolice/words/index.html
プライマリサーバ	DNS のコンテンツサーバの一種で、手元にゾーン情報のマスターを持つDNSサーバのこと。 プライマリサーバはゾーンに対する管理権限を持つ。「セカンダリサーバ」も参照。	https://www.npa.go.jp/cyberpolice/words/index.html
ブラウザクラッシャー	閲覧するだけでWebブラウザやシステムが使用不能となるような、悪意のあるHTMLコード、スクリプト、プログラム等をWebページに埋め込んだものをいう。Webブラウザのセキュリティホールを悪用してシステムを異常終了させたり、無限に新規ウインドウを生成し制御不能にしたりする。 予防のためには、ブラウザの不要な機能を使用しない設定にするとともに、セキュリティホールを放置しないことが重要である。しかし、完全な予防は困難なため、掲示板等に掲載された内容不明なリンクを不用意にクリックしないよう注意すべきである。	https://www.npa.go.jp/cyberpolice/words/index.html
ブラウザクラッシャーチェッカー	Webページに表示されているリンク先がブラウザクラッシャーであるかどうかを判別するためのプログラムのこと。	https://www.npa.go.jp/cyberpolice/words/index.html
ブルートフォース攻撃(総当たり攻撃)	主にパスワードの割り出しに用いられる手法。文字、数字、記号の全ての組み合わせをしらみ潰しに試行する。 具体的には、a , b , c , … , z のように、1文字から順番に試行する。例えばパスワードが abcd だった場合、4文字分の総当たりを試行することで割り出されてしまう。4文字分の試行は約45万6千回に過ぎず、昨今のパーソナルコンピュータの演算能力を用いれば短い時間で実行可能である。アルファベットや数字の他に ! や @ などの記号も加えれば、組み合わせ数が増える。また、パスワードの文字数を増やせば、その分だけ総当たりに必要な回数が幾何級数的に増加する。 破られにくいパスワードにするためには、できるだけ長い文字数にし、数字や記号などを含むことが望ましい。 	https://www.npa.go.jp/cyberpolice/words/index.html
プロキシサーバ	プロキシサーバのプロキシとは「代理」の意味。プロキシサーバはユーザからのリクエストを受けて、代理で相手のホストにアクセスを行い、返された結果をユーザに返す。 また、返された結果をキャッシュしておき、次に同じリクエストがあった場合にはプロキシサーバがキャッシュしている内容を返すことで、ネットワーク負荷の軽減が図れる。 https://www.npa.go.jp/cyberpolice/words/index.html
分散型サービス不能攻撃	Distributed Denial of Service 攻撃の略。 複数のコンピュータから攻撃対象としたネットワークやコンピュータに大量のデータを送り込むことによって負荷をかけるなどの方法で、 サービスを提供できない状態にする攻撃。	https://www.npa.go.jp/cyberpolice/words/index.html
ボット	インターネットを介した攻撃者の命令に基づき動作するプログラムであり、大量のスパムメールの送信や他のサーバへのサービス不能攻撃（DoS攻撃）などを行う。新しいボットが次々と作り出され様々な種類が存在するため、ウイルス対策ソフトによる検知が難しい上、一般的なウイルスに比べると感染したコンピュータ上で目立った活動をしないため、コンピュータの所有者が感染に気付かないことが多い。	https://www.npa.go.jp/cyberpolice/words/index.html
ボットネット	攻撃者の命令に基づき動作するプログラム（ボット）に感染したコンピュータ及び攻撃者の命令を送信する指令サーバ（ボット指令サーバ）からなるネットワークをいう。攻撃者は一度の命令で多数のコンピュータを操作することができ、中には数万台規模のボットからなるものも確認されている。攻撃者の命令により一斉に大量のスパムメールの送信や他のサーバへのサービス不能攻撃（DoS攻撃）などを行う。	https://www.npa.go.jp/cyberpolice/words/index.html
ポリシーサーバ	事前に定められたセキュリティポリシーに従って、アクセスの可否の判断結果をサービス機器に提供するためのサーバ。	https://www.npa.go.jp/cyberpolice/words/index.html
ポート	サービスを論理的に識別する番号のこと。	https://www.npa.go.jp/cyberpolice/words/index.html
ポート番号	サービスを論理的に識別する番号のこと。	https://www.npa.go.jp/cyberpolice/words/index.html
ポートスキャン	対象サーバがどのポートを使っているかを順次調査すること。攻撃や不正アクセスに先立って行われることが多い。	https://www.npa.go.jp/cyberpolice/words/index.html
マクロウイルス	MS-Office 等のアプリケーションソフトのマクロ機能を利用して作成されたウイルスのこと。マクロ機能とは、汎用的な処理手順をあらかじめ登録しておき、必要なときに簡易な操作で実行させる機能である。自己増殖や破壊活動を行う悪意のあるマクロが登録された Word や Excel 等のデータファイルをアプリケーション・プログラムで開くことによって感染する。	https://www.npa.go.jp/cyberpolice/words/index.html
メール爆弾	大量もしくは大容量のメールを送ることで相手側の機能を麻痺させるサービス不能攻撃の一種。	https://www.npa.go.jp/cyberpolice/words/index.html
メールヘッダ	電子メールの宛先、差出人、件名等の送受信に関連する情報が含まれている。メッセージヘッダともいう。メールヘッダには、配送経路やメールサーバの情報等も書き込まれているため、これらの情報がクラッカーに悪用されることがある。	https://www.npa.go.jp/cyberpolice/words/index.html
レジストラ	ドメイン名登録者からの登録申請や担当者情報・ネームサーバ情報の変更申請を受け付け、レジストリのデータベースへ登録する組織のこと。 レジストリは1つの TLD につき1つ存在するが、レジストラは1つの TLD につき複数存在する。	https://www.npa.go.jp/cyberpolice/words/index.html
レジストリ	登録されたドメイン名を一元管理する組織のこと。1つの TLD ごとに1つのレジストリが存在し、ドメイン名のデータベースの維持管理や、TLD のDNSサーバの運用を行っている。	https://www.npa.go.jp/cyberpolice/words/index.html
ワンタイムパスワード	本人認証を行うためのパスワードを毎回変更する方式。パスワードは時刻等によって生成され、例えば1分ごとで変化するため、万が一盗聴されたとしても再利用できず高い安全性を確保できる。	https://www.npa.go.jp/cyberpolice/words/index.html
ワーム	ウイルスの一種。ネットワークを利用して、他のホストに自分自身のコピーを送り込んで自己増殖する。ファイルには感染せずに、単独のプログラムとして動作する。	https://www.npa.go.jp/cyberpolice/words/index.html
